"","Run","Experiment","Sample.Name","SRA_study","BioProject","GEO_Accession..exp.","source_name","Strain","PAO1","PA14","PAK","ClinicalIsolate"
"2407","SRR10009716","SRX6747941","GSM4041278","SRP218984","PRJNA561330","","hfq::3xFLAG_P_XL+","PAO1",TRUE,FALSE,FALSE,FALSE
"2408","SRR8842505","SRX5630349","GSM3703943","SRP190446","PRJNA530741","GSM3703943","liquid culture in LB (Luria-Bertani) medium","",TRUE,FALSE,FALSE,FALSE
"2409","SRR8832544","SRX5620828","Rheo-Flow 20 minutes","SRP190023","PRJNA530209","","","UCBPP-PA14",FALSE,TRUE,FALSE,FALSE
"2410","SRR8832547","SRX5620825","Rheo-No Flow 0 hours C","SRP190023","PRJNA530209","","","UCBPP-PA14",FALSE,TRUE,FALSE,FALSE
"2411","SRR2228986","SRX1177860","4951-log","SRP063080","PRJNA294484","","","PA14-4951",FALSE,TRUE,FALSE,FALSE
"2412","SRR10267769","SRX6981195","mouse_chronicwound_BL6_19","SRP225219","PRJNA576508","","","PA14",FALSE,TRUE,FALSE,FALSE
"2413","SRR10231269","SRX6950613","Pa_S_cip_-_000m_rep2","SRP183116","PRJNA518730","","","RB019",FALSE,FALSE,FALSE,FALSE
"2414","SRR10139953","SRX6867890","GSM4084053","SRP222362","PRJNA566190","GSM4084053","Bacteria","",FALSE,TRUE,FALSE,FALSE
"2415","SRR10009727","SRX6747952","GSM4041289","SRP218984","PRJNA561330","","hfq::3xFLAG_B_XL-","PAO1",TRUE,FALSE,FALSE,FALSE
"2416","SRR10348734","SRX7058513","pA 1","SRP227029","PRJNA579575","","","PAO1",TRUE,FALSE,FALSE,FALSE
"2417","SRR9677281","SRX6437605","GSM3939895","SRP214490","PRJNA554358","GSM3939895","CH2582_BF48","",FALSE,FALSE,FALSE,FALSE
"2418","SRR9677283","SRX6437607","GSM3939897","SRP214490","PRJNA554358","GSM3939897","CH2665_BF48","",FALSE,FALSE,FALSE,FALSE
"2419","SRR9677317","SRX6437736","GSM3939931","SRP214490","PRJNA554358","GSM3939931","ESP088_BF48","",FALSE,FALSE,FALSE,FALSE
"2420","SRR9677320","SRX6437739","GSM3939934","SRP214490","PRJNA554358","GSM3939934","F1764_BF48","",FALSE,FALSE,FALSE,FALSE
"2421","SRR9677357","SRX6437704","GSM3939971","SRP214490","PRJNA554358","GSM3939971","MS5_BF48","",FALSE,FALSE,FALSE,FALSE
"2422","SRR9677372","SRX6437719","GSM3939986","SRP214490","PRJNA554358","GSM3939986","CH2665_PL","",FALSE,FALSE,FALSE,FALSE
"2423","SRR9677384","SRX6437755","GSM3939998","SRP214490","PRJNA554358","GSM3939998","CH3462_PL","",FALSE,FALSE,FALSE,FALSE
"2424","SRR9677389","SRX6437760","GSM3940003","SRP214490","PRJNA554358","GSM3940003","CH4634_PL","",FALSE,FALSE,FALSE,FALSE
"2425","SRR9677415","SRX6437666","GSM3940029","SRP214490","PRJNA554358","GSM3940029","F2059_PL","",FALSE,FALSE,FALSE,FALSE
"2426","SRR9677420","SRX6437671","GSM3940034","SRP214490","PRJNA554358","GSM3940034","F2224_PL","",FALSE,FALSE,FALSE,FALSE
"2427","SRR9677421","SRX6437672","GSM3940035","SRP214490","PRJNA554358","GSM3940035","F2856_PL","",FALSE,FALSE,FALSE,FALSE
"2428","SRR9677427","SRX6437678","GSM3940041","SRP214490","PRJNA554358","GSM3940041","MHH15103_PL","",FALSE,FALSE,FALSE,FALSE
"2429","SRR9677449","SRX6437629","GSM3940063","SRP214490","PRJNA554358","GSM3940063","ESP067_BF36_dyn","",FALSE,FALSE,FALSE,FALSE
"2430","SRR5043047","SRX2366125","Control_2L_2","SRP017679","PRJNA184698","","","DPB Control_2",FALSE,FALSE,FALSE,FALSE
"2431","SRR5043073","SRX2366151","BAC(+)_3L_1","SRP017679","PRJNA184698","","","DPB BAC(+)_3",FALSE,FALSE,FALSE,FALSE
"2432","SRR1238121","SRX516633","P. aeruginosa PA49 tap water transcriptome","SRP041151","PRJNA243993","","","",FALSE,FALSE,FALSE,FALSE
"2433","SRR1283223","SRX540112","PA01-Planktonic-1","SRP041868","PRJNA246577","","","PA01",TRUE,FALSE,FALSE,FALSE
"2434","SRR8835848","SRX5624079","GSM3702043","SRP190130","PRJNA530399","GSM3702043","Transcriptome after phage infection of 80min","",FALSE,FALSE,FALSE,FALSE
"2435","SRR10326183","SRX7036367","GSM4134912","SRP226640","PRJNA578924","GSM4134912","in vitro grown bacterial cells","",FALSE,TRUE,FALSE,FALSE
"2436","SRR10326188","SRX7036372","GSM4134917","SRP226640","PRJNA578924","GSM4134917","in vitro grown bacterial cells","",FALSE,TRUE,FALSE,FALSE
"2437","SRR10348732","SRX7058515","pA 2","SRP227029","PRJNA579575","","","PAO1",TRUE,FALSE,FALSE,FALSE
"2438","SRR10348735","SRX7058512","pA 1","SRP227029","PRJNA579575","","","PAO1",TRUE,FALSE,FALSE,FALSE
"2439","SRR10348738","SRX7058509","Control 2","SRP227029","PRJNA579575","","","PAO1",TRUE,FALSE,FALSE,FALSE
"2440","SRR10348752","SRX7058495","pA 3","SRP227029","PRJNA579575","","","PAO1",TRUE,FALSE,FALSE,FALSE
"2441","SRR10398419","SRX7098672","GSM4147934","SRP228531","PRJNA587410","GSM4147934","Clinical isolate","AG1",FALSE,FALSE,FALSE,TRUE
"2442","SRR10231240","SRX6950642","Pa_R_cip_-_060m_rep2","SRP183116","PRJNA518730","","","RB017",FALSE,FALSE,FALSE,FALSE
"2443","SRR10123800","SRX6853208","GSM4080075","SRP221731","PRJNA565718","GSM4080075","LB liquid culture at OD=1","IHMA879472",FALSE,FALSE,FALSE,FALSE
"2444","SRR10139955","SRX6867892","GSM4084055","SRP222362","PRJNA566190","GSM4084055","Bacteria","",FALSE,TRUE,FALSE,FALSE
"2445","SRR9677331","SRX6437774","GSM3939945","SRP214490","PRJNA554358","GSM3939945","F2055_BF48","",FALSE,FALSE,FALSE,FALSE
"2446","SRR9677332","SRX6437775","GSM3939946","SRP214490","PRJNA554358","GSM3939946","F2056_BF48","",FALSE,FALSE,FALSE,FALSE
"2447","SRR9677386","SRX6437757","GSM3940000","SRP214490","PRJNA554358","GSM3940000","CH4035_PL","",FALSE,FALSE,FALSE,FALSE
"2448","SRR9677387","SRX6437758","GSM3940001","SRP214490","PRJNA554358","GSM3940001","CH4528_PL","",FALSE,FALSE,FALSE,FALSE
"2449","SRR9677462","SRX6437642","GSM3940076","SRP214490","PRJNA554358","GSM3940076","MHH17767_BF48_dyn","",FALSE,FALSE,FALSE,FALSE
"2450","SRR10348736","SRX7058511","Control 3","SRP227029","PRJNA579575","","","PAO1",TRUE,FALSE,FALSE,FALSE
"2451","SRR8948480","SRX5728473","GSM3733634","SRP193631","PRJNA534259","GSM3733634","Pseudomonas aeruginosa PAO1 growing exponentially in LB synchronoulsy infected with phage PA5oct","",TRUE,FALSE,FALSE,FALSE
"2452","SRR9720457","SRX6478147","PAEC","SRP215630","PRJNA555685","","","",TRUE,FALSE,FALSE,FALSE
"2453","SRR5043052","SRX2366130","Control_2B_3","SRP017679","PRJNA184698","","","DPB Control_2",FALSE,FALSE,FALSE,FALSE
"2454","SRR10414516","SRX7112717","RNA_R08","SRP229005","PRJNA588274","","","",FALSE,FALSE,FALSE,FALSE
"2455","SRR1156269","SRX460510","clinical_pool_6_bc12","SRP036144","PRJNA236589","","","clinical isolate",FALSE,FALSE,FALSE,TRUE
"2456","SRR9677304","SRX6437723","GSM3939918","SRP214490","PRJNA554358","GSM3939918","CH4681_BF48","",FALSE,FALSE,FALSE,FALSE
"2457","SRR9677327","SRX6437746","GSM3939941","SRP214490","PRJNA554358","GSM3939941","F2006_BF48","",FALSE,FALSE,FALSE,FALSE
"2458","SRR9677336","SRX6437779","GSM3939950","SRP214490","PRJNA554358","GSM3939950","F2165_BF48","",FALSE,FALSE,FALSE,FALSE
"2459","SRR9677347","SRX6437790","GSM3939961","SRP214490","PRJNA554358","GSM3939961","MHH1525_BF48","",FALSE,FALSE,FALSE,FALSE
"2460","SRR9677354","SRX6437701","GSM3939968","SRP214490","PRJNA554358","GSM3939968","MHH17704_BF48","",FALSE,FALSE,FALSE,FALSE
"2461","SRR9677363","SRX6437710","GSM3939977","SRP214490","PRJNA554358","GSM3939977","ZG302442_BF48","",FALSE,FALSE,FALSE,FALSE
"2462","SRR9677380","SRX6437751","GSM3939994","SRP214490","PRJNA554358","GSM3939994","CH2724_PL","",FALSE,FALSE,FALSE,FALSE
"2463","SRR9677391","SRX6437762","GSM3940005","SRP214490","PRJNA554358","GSM3940005","CH4703_PL","",FALSE,FALSE,FALSE,FALSE
"2464","SRR9677422","SRX6437673","GSM3940036","SRP214490","PRJNA554358","GSM3940036","M70564993_PL","",FALSE,FALSE,FALSE,FALSE
"2465","SRR9677424","SRX6437675","GSM3940038","SRP214490","PRJNA554358","GSM3940038","M70646077_PL","",FALSE,FALSE,FALSE,FALSE
"2466","SRR9677440","SRX6437691","GSM3940054","SRP214490","PRJNA554358","GSM3940054","PSAE1837_PL","",FALSE,FALSE,FALSE,FALSE
"2467","SRR1631022","SRX743702","Pseudomonas aeruginosa PA01","SRP049284","PRJNA264943","","","PA01",TRUE,FALSE,FALSE,FALSE
"2468","SRR2106276","SRX1100227","Treated (24 h)","SRP060687","PRJNA289564","","","PA01",TRUE,FALSE,FALSE,FALSE
"2469","SRR9822583","SRX6579275","GSM3967211","SRP216205","PRJNA556370","GSM3967211","Mobile_CRISPRi_with_guide","PA14",FALSE,TRUE,FALSE,FALSE
"2470","SRR8742228","SRX5534355","GSM3674406","SRP188684","PRJNA527727","GSM3674406","paired-end RNA-seq_P. aeruginosa PAO1 fleQ mutant","",TRUE,FALSE,FALSE,FALSE
"2471","SRR8742248","SRX5534375","GSM3674426","SRP188684","PRJNA527727","GSM3674426","paired-end RNA-seq_P. aeruginosa PAO1 wild type","",TRUE,FALSE,FALSE,FALSE
"2472","SRR5043066","SRX2366144","AB_2","SRP017679","PRJNA184698","","","DPB ancestor",FALSE,FALSE,FALSE,FALSE
"2473","SRR1056131","SRX396945","MHH-pool-01_bc8","SRP034661","PRJNA231236","","","clinical isolate",FALSE,FALSE,FALSE,TRUE
"2474","SRR1056144","SRX396958","MHH-pool-03_bc2","SRP034661","PRJNA231236","","","clinical isolate",FALSE,FALSE,FALSE,TRUE
"2475","SRR9040256","SRX5817389","PA2","SRP155905","PRJNA483810","","","PA2",FALSE,FALSE,FALSE,FALSE
"2476","SRR9040258","SRX5817387","PA2","SRP155905","PRJNA483810","","","PA2",FALSE,FALSE,FALSE,FALSE
"2477","SRR8782490","SRX5572468","GSM3685827","SRP189356","PRJNA528935","GSM3685827","PAO1r","PAO1r",TRUE,FALSE,FALSE,FALSE
"2478","SRR8782929","SRX5572887","SC24_surf_3hr-surf_repG","SRP189374","PRJNA528963","","","UCBPP-PA14",FALSE,TRUE,FALSE,FALSE
"2479","SRR10768840","SRX7442758","GSM4232901","SRP238832","PRJNA597754","GSM4232901","bacterial culture (LBN media)","",TRUE,FALSE,FALSE,FALSE
"2480","SRR10856480","SRX7526617","SWU_sputum32","SRP240873","PRJNA600167","","","COP",FALSE,FALSE,FALSE,FALSE
"2481","SRR9677353","SRX6437700","GSM3939967","SRP214490","PRJNA554358","GSM3939967","MHH17546_BF48","",FALSE,FALSE,FALSE,FALSE
"2482","SRR9677432","SRX6437683","GSM3940046","SRP214490","PRJNA554358","GSM3940046","MHH16951_PL","",FALSE,FALSE,FALSE,FALSE
"2483","SRR10267767","SRX6981197","epithelial_R2","SRP225219","PRJNA576508","","","PAO1",TRUE,FALSE,FALSE,FALSE
"2484","SRR10231265","SRX6950617","Pa_S_cip_-_010m_rep1","SRP183116","PRJNA518730","","","RB018",FALSE,FALSE,FALSE,FALSE
"2485","SRR10203875","SRX6923945","post_PSA_untreated","SRP223733","PRJNA574614","","","PAO1",TRUE,FALSE,FALSE,FALSE
"2486","SRR9587069","SRX6352907","starvation1","SRP211777","PRJNA550173","","","PAO1",TRUE,FALSE,FALSE,FALSE
"2487","SRR10231250","SRX6950632","Pa_S_cip_030m_rep2","SRP183116","PRJNA518730","","","RB019",FALSE,FALSE,FALSE,FALSE
"2488","SRR10231272","SRX6950610","Pa_S_cip_000m_rep1","SRP183116","PRJNA518730","","","RB018",FALSE,FALSE,FALSE,FALSE
"2489","SRR8842508","SRX5630352","GSM3703946","SRP190446","PRJNA530741","GSM3703946","liquid culture in LB (Luria-Bertani) medium","",TRUE,FALSE,FALSE,FALSE
"2490","SRR10203888","SRX6923932","pre_PSA_gent","SRP223733","PRJNA574614","","","PAO1",TRUE,FALSE,FALSE,FALSE
"2491","SRR11109965","SRX7747527","PA1","SRP249973","PRJNA606809","","","PAO1",TRUE,FALSE,FALSE,FALSE
"2492","SRR1041867","SRX386233","PahK","SRP030663","PRJNA222256","","","mPAO1",TRUE,FALSE,FALSE,FALSE
"2493","SRR9677285","SRX6437609","GSM3939899","SRP214490","PRJNA554358","GSM3939899","CH2678_BF48","",FALSE,FALSE,FALSE,FALSE
"2494","SRR9677295","SRX6437619","GSM3939909","SRP214490","PRJNA554358","GSM3939909","CH2860_BF48","",FALSE,FALSE,FALSE,FALSE
"2495","SRR9677297","SRX6437621","GSM3939911","SRP214490","PRJNA554358","GSM3939911","CH3466_BF48","",FALSE,FALSE,FALSE,FALSE
"2496","SRR9677325","SRX6437744","GSM3939939","SRP214490","PRJNA554358","GSM3939939","F1997_BF48","",FALSE,FALSE,FALSE,FALSE
"2497","SRR9677340","SRX6437783","GSM3939954","SRP214490","PRJNA554358","GSM3939954","M70564993_BF48","",FALSE,FALSE,FALSE,FALSE
"2498","SRR9677373","SRX6437720","GSM3939987","SRP214490","PRJNA554358","GSM3939987","CH2677_PL","",FALSE,FALSE,FALSE,FALSE
"2499","SRR9677378","SRX6437749","GSM3939992","SRP214490","PRJNA554358","GSM3939992","CH2690_PL","",FALSE,FALSE,FALSE,FALSE
"2500","SRR9677388","SRX6437759","GSM3940002","SRP214490","PRJNA554358","GSM3940002","CH4591_PL","",FALSE,FALSE,FALSE,FALSE
"2501","SRR9677437","SRX6437688","GSM3940051","SRP214490","PRJNA554358","GSM3940051","PA14_PL","",FALSE,TRUE,FALSE,FALSE
"2502","SRR9677450","SRX6437630","GSM3940064","SRP214490","PRJNA554358","GSM3940064","ESP067_BF48_dyn","",FALSE,FALSE,FALSE,FALSE
"2503","SRR9040261","SRX5817384","PA2","SRP155905","PRJNA483810","","","PA2",FALSE,FALSE,FALSE,FALSE
