"","X1","X2"
"AAG03715","AAG03715","PA0326"
"AAG03716","AAG03716","PA0327"
"AAG03717","AAG03717","PA0328"
"AAG03718","AAG03718","PA0329"
"AAG03719","AAG03719","PA0330"
"AAG03720","AAG03720","PA0331"
"AAG03721","AAG03721","PA0332"
"AAG03722","AAG03722","PA0333"
"AAG03723","AAG03723","PA0334"
"AAG03724","AAG03724","PA0335"
"AAG03725","AAG03725","PA0336"
"AAG03726","AAG03726","PA0337"
"AAG03727","AAG03727","PA0338"
"AAG03728","AAG03728","PA0339"
"AAG03729","AAG03729","PA0340"
"AAG03730","AAG03730","PA0341"
"AAG03731","AAG03731","PA0342"
"AAG03732","AAG03732","PA0343"
"AAG03733","AAG03733","PA0344"
"AAG03734","AAG03734","PA0345"
"AAG03735","AAG03735","PA0346"
"AAG03736","AAG03736","PA0347"
"AAG03737","AAG03737","PA0348"
"AAG03738","AAG03738","PA0349"
"AAG03739","AAG03739","PA0350"
"AAG03740","AAG03740","PA0351"
"AAG03741","AAG03741","PA0352"
"AAG03742","AAG03742","PA0353"
"AAG03743","AAG03743","PA0354"
"AAG03744","AAG03744","PA0355"
"AAG03745","AAG03745","PA0356"
"AAG03746","AAG03746","PA0357"
"AAG03747","AAG03747","PA0358"
"AAG03748","AAG03748","PA0359"
"AAG03749","AAG03749","PA0360"
"AAG03750","AAG03750","PA0361"
"AAG03751","AAG03751","PA0362"
"AAG03752","AAG03752","PA0363"
"AAG03753","AAG03753","PA0364"
"AAG03754","AAG03754","PA0365"
"AAG03755","AAG03755","PA0366"
"AAG03756","AAG03756","PA0367"
"AAG03757","AAG03757","PA0368"
"AAG03758","AAG03758","PA0369"
"AAG03759","AAG03759","PA0370"
"AAG03760","AAG03760","PA0371"
"AAG03761","AAG03761","PA0372"
"AAG03762","AAG03762","PA0373"
"AAG03763","AAG03763","PA0374"
"AAG03764","AAG03764","PA0375"
"AAG03765","AAG03765","PA0376"
"AAG03766","AAG03766","PA0377"
"AAG03767","AAG03767","PA0378"
"AAG03768","AAG03768","PA0379"
"AAG03769","AAG03769","PA0380"
"AAG03770","AAG03770","PA0381"
"AAG03771","AAG03771","PA0382"
"AAG03772","AAG03772","PA0383"
"AAG03773","AAG03773","PA0384"
"AAG03774","AAG03774","PA0385"
"AAG03775","AAG03775","PA0386"
"AAG03776","AAG03776","PA0387"
"AAG03777","AAG03777","PA0388"
"AAG03778","AAG03778","PA0389"
"AAG03779","AAG03779","PA0390"
"AAG03780","AAG03780","PA0391"
"AAG03781","AAG03781","PA0392"
"AAG03782","AAG03782","PA0393"
"AAG03783","AAG03783","PA0394"
"AAG03784","AAG03784","PA0395"
"AAG03785","AAG03785","PA0396"
"AAG03786","AAG03786","PA0397"
"AAG03787","AAG03787","PA0398"
"AAG03788","AAG03788","PA0399"
"AAG03789","AAG03789","PA0400"
"AAG03790","AAG03790","PA0401"
"AAG03791","AAG03791","PA0402"
"AAG03792","AAG03792","PA0403"
"AAG03793","AAG03793","PA0404"
"AAG03794","AAG03794","PA0405"
"AAG03795","AAG03795","PA0406"
"AAG03796","AAG03796","PA0407"
"AAG03797","AAG03797","PA0408"
"AAG03798","AAG03798","PA0409"
"AAG03799","AAG03799","PA0410"
"AAG03800","AAG03800","PA0411"
"AAG03801","AAG03801","PA0412"
"AAG03802","AAG03802","PA0413"
"AAG03803","AAG03803","PA0414"
"AAG03804","AAG03804","PA0415"
"AAG03805","AAG03805","PA0416"
"AAG03806","AAG03806","PA0417"
"AAG03807","AAG03807","PA0418"
"AAG03808","AAG03808","PA0419"
"AAG03809","AAG03809","PA0420"
"AAG03810","AAG03810","PA0421"
"AAG03811","AAG03811","PA0422"
"AAG03812","AAG03812","PA0423"
"AAG03813","AAG03813","PA0424"
"AAG03814","AAG03814","PA0425"
"AAG03815","AAG03815","PA0426"
"AAG03816","AAG03816","PA0427"
"AAG03817","AAG03817","PA0428"
"AAG03818","AAG03818","PA0429"
"AAG03819","AAG03819","PA0430"
"AAG03820","AAG03820","PA0431"
"AAG03821","AAG03821","PA0432"
"AAG03822","AAG03822","PA0433"
"AAG03823","AAG03823","PA0434"
"AAG03824","AAG03824","PA0435"
"AAG03825","AAG03825","PA0436"
"AAG03826","AAG03826","PA0437"
"AAG03827","AAG03827","PA0438"
"AAG03828","AAG03828","PA0439"
"AAG03829","AAG03829","PA0440"
"AAG03830","AAG03830","PA0441"
"AAG03831","AAG03831","PA0442"
"AAG03832","AAG03832","PA0443"
"AAG03833","AAG03833","PA0444"
"AAG03834","AAG03834","PA0445"
"AAG03835","AAG03835","PA0446"
"AAG03836","AAG03836","PA0447"
"AAG03837","AAG03837","PA0448"
"AAG03838","AAG03838","PA0449"
"AAG03839","AAG03839","PA0450"
"AAG03840","AAG03840","PA0451"
"AAG03841","AAG03841","PA0452"
"AAG03842","AAG03842","PA0453"
"AAG03843","AAG03843","PA0454"
"AAG03844","AAG03844","PA0455"
"AAG03845","AAG03845","PA0456"
"AAG03846","AAG03846","PA0457"
"ACI25436","ACI25436","PA0457.1"
"AAG03847","AAG03847","PA0458"
"AAG03848","AAG03848","PA0459"
"AAG03849","AAG03849","PA0460"
"AAG03850","AAG03850","PA0461"
"AAG03851","AAG03851","PA0462"
