"","X1","X2"
"ABJ15450","ABJ15450","PA14_06320"
"ABJ15451","ABJ15451","PA14_06330"
"ABJ15452","ABJ15452","PA14_06340"
"ABJ15453","ABJ15453","PA14_06350"
"ABJ15454","ABJ15454","PA14_06360"
"ABJ15455","ABJ15455","PA14_06390"
"ABJ15456","ABJ15456","PA14_06400"
"ABJ15457","ABJ15457","PA14_06420"
"ABJ15458","ABJ15458","PA14_06430"
"ABJ15459","ABJ15459","PA14_06450"
"ABJ15460","ABJ15460","PA14_06460"
"ABJ15461","ABJ15461","PA14_06480"
"ABJ15462","ABJ15462","PA14_06500"
"ABJ15463","ABJ15463","PA14_06510"
"ABJ15464","ABJ15464","PA14_06530"
"ABJ15465","ABJ15465","PA14_06540"
"ABJ15466","ABJ15466","PA14_06570"
"ABJ15467","ABJ15467","PA14_06580"
"ABJ15468","ABJ15468","PA14_06600"
"ABJ15469","ABJ15469","PA14_06620"
"ABJ15470","ABJ15470","PA14_06640"
"ABJ15471","ABJ15471","PA14_06650"
"ABJ15472","ABJ15472","PA14_06660"
"ABJ15473","ABJ15473","PA14_06670"
"ABJ15474","ABJ15474","PA14_06680"
"ABJ15475","ABJ15475","PA14_06690"
"ABJ15476","ABJ15476","PA14_06700"
"ABJ15477","ABJ15477","PA14_06710"
"ABJ15478","ABJ15478","PA14_06720"
"ABJ15479","ABJ15479","PA14_06730"
"ABJ15480","ABJ15480","PA14_06740"
"ABJ15481","ABJ15481","PA14_06750"
"ABJ15482","ABJ15482","PA14_06770"
"ABJ15483","ABJ15483","PA14_06790"
"ABJ15484","ABJ15484","PA14_06800"
"ABJ15485","ABJ15485","PA14_06810"
"ABJ15486","ABJ15486","PA14_06830"
"ABJ15487","ABJ15487","PA14_06840"
"ABJ15488","ABJ15488","PA14_06860"
"ABJ15489","ABJ15489","PA14_06870"
"ABJ15490","ABJ15490","PA14_06880"
"ABJ15491","ABJ15491","PA14_06890"
"ABJ15492","ABJ15492","PA14_06900"
"ABJ15493","ABJ15493","PA14_06920"
"ABJ15494","ABJ15494","PA14_06930"
"ABJ15495","ABJ15495","PA14_06940"
"ABJ15496","ABJ15496","PA14_06950"
"ABJ15497","ABJ15497","PA14_06960"
"ABJ15498","ABJ15498","PA14_06970"
"ABJ15499","ABJ15499","PA14_06980"
"ABJ15500","ABJ15500","PA14_06990"
"ABJ15501","ABJ15501","PA14_07000"
"ABJ15502","ABJ15502","PA14_07010"
"ABJ15503","ABJ15503","PA14_07020"
"ABJ15504","ABJ15504","PA14_07030"
"ABJ15505","ABJ15505","PA14_07040"
"ABJ15506","ABJ15506","PA14_07050"
"ABJ15507","ABJ15507","PA14_07060"
"ABJ15508","ABJ15508","PA14_07070"
"ABJ15509","ABJ15509","PA14_07090"
"ABJ15510","ABJ15510","PA14_07110"
"ABJ15511","ABJ15511","PA14_07130"
"ABJ15512","ABJ15512","PA14_07140"
"ABJ15513","ABJ15513","PA14_07150"
"ABJ15514","ABJ15514","PA14_07170"
"ABJ15515","ABJ15515","PA14_07190"
"ABJ15516","ABJ15516","PA14_07200"
"ABJ15517","ABJ15517","PA14_07210"
"ABJ15518","ABJ15518","PA14_07230"
"ABJ15519","ABJ15519","PA14_07240"
"ABJ15521","ABJ15521","PA14_07250"
"ABJ15520","ABJ15520","PA14_07260"
"ABJ15522","ABJ15522","PA14_07280"
"ABJ15523","ABJ15523","PA14_07290"
"ABJ15524","ABJ15524","PA14_07300"
"ABJ15525","ABJ15525","PA14_07310"
"ABJ15526","ABJ15526","PA14_07330"
"ABJ15527","ABJ15527","PA14_07340"
"ABJ15643","ABJ15643","PA14_07355"
"ABJ15528","ABJ15528","PA14_07360"
"ABJ15529","ABJ15529","PA14_07370"
"ABJ15530","ABJ15530","PA14_07380"
"ABJ15531","ABJ15531","PA14_07400"
"ABJ15532","ABJ15532","PA14_07410"
"ABJ15533","ABJ15533","PA14_07420"
"ABJ15534","ABJ15534","PA14_07430"
"ABJ15535","ABJ15535","PA14_07440"
"ABJ15536","ABJ15536","PA14_07450"
"ABJ15537","ABJ15537","PA14_07460"
"ABJ15538","ABJ15538","PA14_07480"
"ABJ15539","ABJ15539","PA14_07500"
"ABJ15540","ABJ15540","PA14_07520"
"ABJ15541","ABJ15541","PA14_07530"
"ABJ15542","ABJ15542","PA14_07550"
"ABJ15543","ABJ15543","PA14_07560"
"ABJ15544","ABJ15544","PA14_07570"
"ABJ15545","ABJ15545","PA14_07580"
"ABJ15546","ABJ15546","PA14_07590"
"ABJ15547","ABJ15547","PA14_07600"
"ABJ15548","ABJ15548","PA14_07620"
"ABJ15549","ABJ15549","PA14_07630"
"ABJ15550","ABJ15550","PA14_07650"
"ABJ15551","ABJ15551","PA14_07660"
"ABJ15552","ABJ15552","PA14_07680"
